N°	SEI	SIG	Títulos Retificativos PCA 2025 - CPED	CH	Precificação	Valor 1º Módulo	N° Parcelas - Boleto	Valor Parcela - Boleto	N° Parcelas - Cartão	Valor - Cartão	Parcela com 15%	Parcelas 20%		
														
1	2023.000001252-41	70139	Administração de Contas a Pagar, Contas a Receber e Tesouraria 	24	R$ 200,00	 - 	1	R$ 200,00	4	R$ 50,00	R$ 42,50	R$ 40,00		
2	2023.000001316-41	86169	Administrador de Banco de Dados	200	R$ 1.200,00	 - 	4	R$ 300,00	12	R$ 100,00	R$ 85,00	R$ 80,00		
3	2024.000004233-49	66097	Administrador de Redes 	200	R$ 1.185,00	 - 	4	R$ 296,25	12	R$ 98,75	R$ 83,94	R$ 79,00		
4	2023.000001254-11	66587	Ajustes e Reformas do Vestuário	40	R$ 549,99	 - 	1	R$ 549,99	11	R$ 50,00	R$ 42,50	R$ 40,00		
5	2023.000001351-23	65989	Alongamento de Unhas 	60	R$ 899,00	 - 	1	R$ 899,00	12	R$ 74,92	R$ 63,68	R$ 59,93		
6	2023.000001313-06	66600	Aperfeiçoamento de Corte de Cabelo e Escova 	60	R$ 780,00	 - 	1	R$ 780,00	12	R$ 65,00	R$ 55,25	R$ 52,00		
7	2023.000001224-98	 66247	Aperfeiçoamento em Corte E Costura	60	R$ 1.204,99	 - 	1	R$ 1.204,99	12	R$ 100,42	R$ 85,35	R$ 80,33		
8	2023.000001160-99	121853	Assistente Administrativo 	160	R$ 1.169,99	 - 	2	R$ 585,00	12	R$ 97,50	R$ 82,87	R$ 78,00		
9	2024.000004494-96	122251	Assistente de Marketing e Vendas 	160	R$ 709,00	 - 	2	R$ 354,50	12	R$ 59,08	R$ 50,22	R$ 47,27		
10	2023.000001161-70	121855	Assistente de Recursos Humanos	160	R$ 990,00	 - 	2	R$ 495,00	12	R$ 82,50	R$ 70,13	R$ 66,00		
11	2023.000001277-08	70228	Assistente de Secretaria Escolar	180	R$ 920,00	 - 	4	R$ 230,00	12	R$ 76,67	R$ 65,17	R$ 61,33		
12	2023.000000029-13	86168	Assistente de Tecnologias da Informação	200	R$ 1.044,99	 - 	4	R$ 261,25	12	R$ 87,08	R$ 74,02	R$ 69,67		
	2023.000001650-31	81675	Açougueiro	160	R$ 2.288,00	 - 	2	R$ 1.144,00	12	R$ 190,67	R$ 162,07	R$ 152,53		
13	2023.000001583-36	81609	Atendente de Farmácia 	240	R$ 999,99	 - 	4	R$ 250,00	12	R$ 83,33	R$ 70,83	R$ 66,67		
14	2024.000004797-27	84277	Atendimento e Vendas 	80	R$ 439,00	 - 	1	R$ 439,00	8	R$ 54,88	R$ 46,64	R$ 43,90		
15	2023.000001877-86	2459	Auxiliar de Cozinha 	240	R$ 2.704,99	 - 	4	R$ 676,25	12	R$ 225,42	R$ 191,60	R$ 180,33		
16	2023.000001170-61	81246	Barbeiro 	172	R$ 1.509,99	 - 	4	R$ 377,50	12	R$ 125,83	R$ 106,96	R$ 100,67		
17	2023.000001192-76	36653	Barista 	160	R$ 1.502,99	 - 	2	R$ 751,50	12	R$ 125,25	R$ 106,46	R$ 100,20		
18	2023.000001182-02	68288	Bartender 	200	R$ 2.817,99	 - 	4	R$ 704,50	12	R$ 234,83	R$ 199,61	R$ 187,87		
19	2023.000000528-56	114838	Preparo de Bolos Tradicionais	30	R$ 459,00	 - 	1	R$ 459,00	9	R$ 51,00	R$ 43,35	R$ 40,80		
20	2023.000000245-69	 1551	Cabeleireiro 	400	R$ 2.666,99	 - 	4	R$ 666,75	12	R$ 222,25	R$ 188,91	R$ 177,80		
21	2023.000001917-16	110876	Cake design - Aperfeiçoamento 	40	R$ 519,00	 - 	1	R$ 519,00	10	R$ 51,90	R$ 44,12	R$ 41,52		
22	2025.000001177-35		ChatGPT na Prática 	36	R$ 209,00	 - 	1	R$ 209,00	4	R$ 52,25	R$ 44,41	R$ 41,80		
23	2023.000001359-81	93151	Colorimetria 	100	R$ 999,99	 - 	2	R$ 500,00	12	R$ 83,33	R$ 70,83	R$ 66,67		
24	2025.000000012-73	124460	Colorimetria Capilar: Noções Básicas 	40	R$ 675,00	 - 	1	R$ 675,00	12	R$ 56,25	R$ 47,81	R$ 45,00		
26	2023.000002102-73	2449	Confeiteiro 	300	R$ 4.659,99	 - 	4	R$ 1.165,00	12	R$ 388,33	R$ 330,08	R$ 310,67		
27		109529	Construção de Websites com PHP e MySQL 	60	R$ 508,00	 - 	1	R$ 508,00	10	R$ 50,80	R$ 43,18	R$ 40,64		
