SEGMENTO	 	TIPO	NÚMERO SEI	CÓDIGO SIG	MÊS DE ENTREGA	STATUS	ORIGEM	OBSERVAÇÃO	STATUS	
Turismo	 Redes Sociais para Empreendimentos e profissionais de Turismo: como desenvolver páginas de impacto	APERFEIÇOAMENTO	2025.000000842-09		Março	PUBLICADO	Plano de Metas	Em Processo de aprovação pelo DN( título novo)//Retificativo do plano de metas. Solicitei ao Negócios Comerciais a liberação do Curso;	PUBLICADO	
Produção Cultural e Design	Estratégias de Captação de  recursos para projetos culturais (28h)	APERFEIÇOAMENTO	2025.000000843-81		Março	PUBLICADO	Plano de Metas	entregue em 03/04 (abril)/ Retificativo do plano de metas. Já entrou para 2025	Atualizar Parecer de Precificação (Justificando estrutura atual da CPED) e Plano de Curso (Para assinatura da atual DEP).	
Beleza e Cuidado Pessoal	A arte de fazer mechas: Cores, nuances e reflexos	APERFEIÇOAMENTO	2025.000000467-06		Abril	CPED - Precificação autorizada pela DIREG	Plano de Metas		CPED - Precificação autorizada pela DIREG	
Tecnologia e Games	Adobe Rush: edição de vídeos para mídias sociais	APERFEIÇOAMENTO	2025.000000091-77		-	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Retificativo Plano de metas		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Ambiente e Saúde	Agente Comunitário	QUALIFICAÇÃO	2024.000005532-18	-	Março	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E NO SIG COMO RASCUNHO	Plano de Metas		PUBLICADO	
Turismo	Agente de viagens (160h) 	QUALIFICAÇÃO	2025.000000784-97		Março	Atualizar Parecer de Precificação (Justificando estrutura atual da CPED) e Plano de Curso (Para assinatura da atual DEP).	Plano de Metas	entregue em março/Retificativo do plano de metas. Necessário fazer TR para simulação de um ambiente simulando uma agência de Viagem e TR de Software utilizados em Agências de Viagens	PUBLICADO	
Comércio	Análise do Comportamento de Consumo	APERFEIÇOAMENTO	2025.000000625-74		Fevereiro	PUBLICADO	Plano de Metas	entregue em fevereiro. Falta assinar o parecer da Precificação	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E NO SIG COMO RASCUNHO	
Tecnologia e Games	Angular: interfaces front-end 	APERFEIÇOAMENTO	2025.000000079-81		Maio	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E NO SIG COMO RASCUNHO	Plano de Metas		PUBLICADO	
Ambiente e Saúde	Instrumentação em Vídeolaparoscopica	APERFEIÇOAMENTO	2025.000000966-31		Março	PUBLICADO	Plano de Metas		PUBLICADO/INDISPONÍVEL NO SITE E SIG	
Gestão e Negócios	Aperfeiçoamento em Técnicas de Administração e Planejamento de Negócios	APERFEIÇOAMENTO	2025.000000399-12		Fevereiro	PUBLICADO/INDISPONÍVEL NO SITE	Plano de Metas		CPED	
Gestão e Negócios	Aplicação de Inteligência Artificial para Negócios	APERFEIÇOAMENTO	2024.000005597-55		Fevereiro	PUBLICADO/INDISPONÍVEL NO SITE	Plano de Metas		 CPED - Ajuste de lista básica	
Tecnologia e Games	Aprendizagem Técnica em Computação Gráfica	APRENDIZAGEM	em criação		Maio	CPED	Retificativo Plano de metas	Retificativo Plano de metas	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Gastronomia	Aproveitamento Integral dos alimentos	APERFEIÇOAMENTO	2025.000000560-94		Fevereiro	 NUCOMP - Lista básica ajustada	Plano de Metas	Retificativo plano de metas	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Gestão e Negócios	Assistente de Contabilidade	QUALIFICAÇÃO	2024.000004567-86	119231	Dezembro	PUBLICADO	Plano de Metas		ENTREGUE - FALTAM ASSINATURAS NO PLANO DE CURSO (Diretoria).	
Gestão e Negócios	Assistente de Faturamento	QUALIFICAÇÃO	2024.000005487-11	126664	Dezembro	PUBLICADO	Plano de Metas		PUBLICADO	
Gestão e Negócios	Assistente de Marketing e Vendas	QUALIFICAÇÃO	2024.000004494-96	122251	Dezembro	PUBLICADO	Plano de Metas		PUBLICADO	
Moda e Costura	Assistente de Pesquisa e Criação de Imagem de Moda	QUALIFICAÇÃO	2025.000000120-46		Fevereiro	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas	Previsto Março, entregue Fevereiro	NC - para precificação.	
Ambiente e Saúde	Pé diabético: técnicas podológicas para prevenir e tratar	APERFEIÇOAMENTO	2025.000001105-61 		Março	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Gastronomia 	Atuação do Consultor na àrea de Segurança dos Alimentos 	APERFEIÇOAMENTO 	2025.000000967-11		Abril	ENTREGUE - FALTAM ASSINATURAS NO PLANO DE CURSO (Diretoria).	Plano de Metas		CPED - NC para DIREG (Solicita ajuste de lista básica)	
Ambiente e Saúde	Auriculoterapia	APERFEIÇOAMENTO	2025.000000529-35		Março	PUBLICADO	Plano de Metas	Já precificado.	NC - para precificação.	
Moda e Costura	Básico de Corte e Costura	PROGRAMA SOCIOPROFISSIONAL	2025.000000446-73		Fevereiro	PUBLICADO	Plano de Metas	Previsto Maio, entregue Fevereiro	CPED (Para análise de viabilidade do curso) 	
Beleza e Cuidado Pessoal	Cabelos Crespos e Cacheados: Cortes e Finalizações	APERFEIÇOAMENTO	2025.000000463-74		Abril	CPED - Ajuste lista básica	Plano de Metas		PUBLICADO	
Ambiente e Saúde	Carboxiterapia para tratamento estético	APERFEIÇOAMENTO	2025.000000614-11		Março	PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE	Plano de Metas		PUBLICADO NO INTRANET/INDISPONÍVEL NO SITE E SIG	
Gastronomia	Carnes Exóticas	APERFEIÇOAMENTO	2025.000000059-37		Janeiro	NC - para precificação.	Plano de Metas	Retificativo plano de metas	NC - para precificação.	
