DIRETORIA DE EDUCAÇÃO PROFISSIONAL - DEP 																	
																	
																	
PORTFÓLIO  DE CURSOS SENAC DF: BELEZA E BEM-ESTAR																	
Segmento 	Modalidade 	Titulo - Nome do Curso	CH	Cód. DN	Cód. SIG	Ident.	TIPO	Última revisão	Processo SEI	Valor	Observações / Orientações	Unidade que pode ser rodado	Compatível com bolsa	Comercial*	PCN	PCR	
Bem-Estar	FIC	Drenagem Linfática Manual	60	2318.17	121512	2024	Aperfeiçoamento	2025	2024.000003621-11	2025 | R$ 452	Necessita macas	Miguel Setembrino					
Bem-Estar	FIC	Massagem Modeladora 	48	62.63	117798	2024	Aperfeiçoamento	2024	2024.000003766-77	2025 | R$ 549	necessita de macas	Miguel Setembrino					
Bem-Estar	FIC	Massagem Relaxante	48	65.23	119986	2024	Aperfeiçoamento	2024	2024.000003617-26	Em processo de precificação	"necessita de macas

Falta assinatura da Diretoria no Plano de Curso (Processo sem andamento aberto)"	Miguel Setembrino					
Bem-Estar	Técnico de Nível Médio	Técnico em Estética	1200	3237	121879	2018	Habilitação Técnica	2025	2024.000003233-95	2025 | R$ R$ 7.900,00 	Necesita de laboratório de estética	Miguel Setembrino					
Bem-Estar	Técnico de Nível Médio	Técnico em Massoterapia 	1200	1845	122019	2016	Habilitação Técnica	2025	2023.000001762-37	2025 | R$ 5.970,00	Necessita de laboratório de massoterapia	Miguel Setembrino					
Bem-Estar	Técnico de Nível Médio	Técnico em Podologia 	1200	2471	81118	2018	Habilitação Técnica	2025	2023.000001570-11	2025 | R$6.885,00	Necessita de laboratório de Podologia	Miguel Setembrino (Resolução 1657/2025)					
Bem-Estar	FIC	Pé diabético: técnicas podológicas para prevenir e tratar	40	32525	130390	2025	Aperfeiçoamento	2025	2025.000001105-61 	2026 | R$ 319,00	Necessita de laboratório de Podologia	Miguel Setembrino					
Bem-Estar	FIC	Auriculoterapia	32	2318.5	137456	2025	Aperfeiçoamento	2025	2025.000000529-35	2025 | R$ 269,00	Necessita de laboratório de massoterapia	Miguel Setembrino					
Bem-Estar	FIC	Carboxiterapia para tratamento estético	40	2506	137676	2025	Aperfeiçoamento	2025	2025.000000614-11	2025 | R$ 399,00	Necessita laboratório de estética	Miguel Setembrino					
Bem-Estar	Especialização	Atendimento Podológico ao paciente com Diabetes	300	2450	130387	2026	Especialização	2025	2025.000000553-65	2025 | R$ 1845,00	Necessita laboratório de podologia	Miguel Setembrino					
Bem-Estar	FIC	Podologia Integrativa: Fitoterapia e cosmetologia na prática para unhas e pés	40	73.24	a cadastrar	2025	Aperfeiçoamento	2025	2025.000000557-99	2025 | R$ 309,00	Necessita laboratório de podologia	Miguel Setembrino					
Bem-Estar	FIC	Massagista	240	1837	66138	2016	Qualificação Profissional	2025	2024.000005581-98	2025 | R$ 1673,00	Necessita laboratório de massoterapia	Miguel Setembrino					
Bem-Estar	FIC	Microagulhamento	40	2318.10	1377672	2025	Aperfeiçoamento	2025	2025.000000632-01	2025 | R$ 1186,00	"Necessita labroatório de estética
"	Miguel Setembrino					
Bem-Estar	FIC	Quick Massage	32	32649	137764	2025	Aperfeiçoamento	2025	2025.000001856-50	2025 | R$ 550,00	Necessita laboratório de massoterapia	Miguel Setembrino					
Bem-Estar	FIC	Técnicas e Protocolos Capilar 	160	67.82	137768	2025	Aperfeiçoamento	2025	2025.000000878-10	2025 | R$ 1449,00	Necessita de salão de estética e tricospio	Miguel Setembrino					
Beleza	FIC	Alongamento de Unhas 	60	60.15	65989	2021	Aperfeiçoamento	2025	2023.000001351-23	2025 | R$ 899,00	Necessário infraestrutura específica: Mesas para cabines e motores						
Beleza	FIC	Aperfeiçoamento de Corte de Cabelo e Escova 	60	56.12	66600	2019	Aperfeiçoamento	2025	2023.000001313-06 	2025 | R$ 970,00	"Falta assinatura do instrutor no Parecer/
Processo aberto na INST"						
Beleza	FIC	Barbeiro 	172	1915	81246	2017	Qualificação Profissional	2025	2023.000001170-61	2025 | R$ 1.550,00	"Falta assinatura no Parecer (Instrutor)/
Processo aberto na INST"						
Beleza	FIC	Beleza de Milhões	100	69.60	113797	2024	Aperfeiçoamento	2024	2024.000001709-71	2024 | R$ 1.089,99	"Projeto Carreta/Comercial - Seu preço inclui entrega de equipamentos/utensílios

Precificação Antiga/Faltam assinaturas no Plano de Curso (Mari e Diretoria)/
Processo aberto na INST"						
Beleza	FIC	Cabeleireiro 	400	1551	134160	2014	Qualificação Profissional	2025	2023.000000245-69	2025 | R$ 2.666,99	OK						
Beleza	FIC	Colorimetria Avançada Aplicada a Cabeleireiros e Barbeiros	100	55.66	93147	2019	Aperfeiçoamento	2025	2023.000001359-81	2025 | R$ 999,99	OK						
Beleza	FIC	Cabeleireiro 	400	1551	134160	2014	Qualificação Profissional	2025	2023.000000245-69	2025 | R$ 2.666,99							
Beleza	FIC	Colorimetria Avançada Aplicada a Cabeleireiros e Barbeiros	100	55.66	93147	2019	Aperfeiçoamento	2025	2023.000001359-81	2025 | R$ 999,99							
Beleza	FIC	Colorimetria Capilar: Noções Básicas	40	55.40	124460	2025	Aperfeiçoamento	2025	2025.000000012-73	2025 | R$ 675,00							
Beleza	FIC	Construção de Carreira para Profissionais da Beleza	36	Não informado	127454	2021	Aperfeiçoamento	2025	2025.000000524-21	2025 | R$ 249,00							
Beleza	FIC	Depilador 	160	1554	"	110116"	2014	Qualificação Profissional	2025	2023.000001148-01	2025 | R$ 1.819,00							
Beleza	FIC	Design de Barba	40	58.7	65983	2019	Aperfeiçoamento	2023	2023.000001644-92	2025 | R$ 453,00	OK						
Beleza	FIC	Design de Corte Feminino: Técnicas Avançadas	72	57.48	85665	2021	Aperfeiçoamento	2025	2023.000001476-44	2025 | R$ 505,00	OK						
Beleza	FIC	Design de Mechas 	40	55.13	66278	2019	Aperfeiçoamento	2025	2023.000001422-51	2025 | R$ 516,00	"Falta assinatura no Parecer (Instrutor)/
Processo aberto na INST"						
Beleza	FIC	Design de Sobrancelhas 	60	58.11	86213	2019	Aperfeiçoamento	2025	2023.000001256-75	2025 | R$ 729,00	"Falta assinatura no Parecer (Instrutor)/
Processo aberto na INST"						
Beleza	FIC	Extensão de Cílios: Fio a Fio 	20	847.46	66526	2019	Programa Socioprofissional	2025	2023.000001451-96	2025 |R$ 559,90	"Necessário infraestrutura específica: Macas

Falta assinatura no Parecer (Instrutor)/
Processo aberto na INST"						
Beleza	FIC	Extensão de Cílios: Volume Russo	20	847.43	67855	2021	Programa Socioprofissional	2025	2023.000001470-59	2025 |R$ 409,90	Necessário infraestrutura específica: Macas						
Beleza	FIC	Lash lifting e Brow lamination	20	401.18	67861	2022	Programa Socioprofissional	2025	2023.000001645-73	2025 |R$ 810,00	Necessário infraestrutura específica: Macas						
Beleza	FIC	Manicure e Pedicure	160	1556	67555	2014	Qualificação Profissional	2025	2023.000001233-89	2025 | R$ 1.759,99	Necessário infraestrutura específica: Cirandinhas 						
Beleza	FIC	Maquiador 	160	1557	67549	2014	Qualificação Profissional	2025	2023.000000202-29	2025 | R$ 1.906,00	"Falta assinatura no Parecer (Instrutor)/
Processo aberto na INST/NUPAM"						
Beleza	FIC	Maquiagem Profissional Avançada	60	69.36	66473	2018	Aperfeiçoamento	2025	2023.000001366-18	2025 | R$ 842,00	"Falta assinatura no Parecer (Instrutor)/
Processo aberto na INST"						
Beleza	FIC	Microblading Fio a Fio 	60	69.37	66421	2019	Aperfeiçoamento	2025	2023.000001475-63	2025 | R$ 899,00	Necessário infraestrutura específica: Macas						
Beleza	FIC	Micropigmentação 	80	69.16	66213	2019	Aperfeiçoamento	2025	2023.000001556-63	2025 | R$ 1.385,00	"Necessário infraestrutura específica: Macas

Falta assinatura no Parecer (Instrutor)/
Processo aberto na INST"						
Beleza	FIC	Penteados Avançados 	40	72.17	66229	2018	Aperfeiçoamento	2025	2023.000001501-90	2025 | R$ 479,99							
Beleza	FIC	Penteados e Corte de Cabelos Afro 	40	72.27	81599	2019	Aperfeiçoamento	2025	2023.000001647-35	2025 | R$ 572,00	"Falta assinatura no Parecer (Instrutor)/
Processo aberto na INST"						
Beleza	FIC	Práticas de Trabalho do Cabeleireiro 	100	78.5	120234	2024	Aperfeiçoamento	2025	2024.000003718-70	2025 | R$ 960,00	Restrito ao Salão Escola Senac + L'Oréal						
Beleza	FIC	Técnicas de Barbeiro	80	847.78	115518	2024	Programa Socioprofissional	2025	2024.000002730-11	2025 |R$ 649,00	OK						
Beleza	FIC	Técnicas de Depilação	80	58.8	115237	2024	Aperfeiçoamento	2025	2024.000004912-63	2025 | R$ 1.005,00	OK						
Beleza	FIC	Tratamento Capilar	40	70.7	124459	2025	Aperfeiçoamento	2025	2025.000000018-69	2025 | R$ 1.089,00	"Restrito ao Salão Escola Senac + L'Oréal
Processo aberto na CEPMSSS"						
Beleza	FIC	Unhas Perfeitas: Manicure e Pedicure 	100	60.48	113363	2024	Aperfeiçoamento	2024	2024.000001661-92	2024 | R$ 939,99	"Projeto Carreta/Comercial - Seu preço inclui entrega de equipamentos/utensílios

Precificação Antiga/
Processo aberto na INST"						
Beleza	FIC	Manicure e Pedicure	216	3231		2025	Qualificação Profissional	2026	2025.000003548-69	Em processo de produção		Demanda Comercial Convênio Secretária da Mulher					
Beleza	FIC	Cabeleireiro Assistente	216	3329		2025	Qualificação Profissional	2025	2025.000003549-40	NC		Demanda Comercial Convênio Secretária da Mulher					
Beleza	FIC	A arte de fazer mechas: Cores, nuances e reflexos	60	55.74	152670	2024	Aperfeiçoamento	2025	2025.000000467-06	2025 | R$ 860,00		Máximo alunos 20					
Beleza	FIC	Cabelos Crespos e Cacheados: Cortes e Finalizações	40	57.57		2025	Aperfeiçoamento	2025	2025.000000463-74	CPED ajuste							
Beleza	FIC	Clareamento de virilhas e axilas	40	58.1	152675	2025	Aperfeiçoamento	2025	2025.000000502-15	2026 | R$ 790,00							
Beleza	FIC	Colorimetria: Criatividade na construção do design	40	55.53	152686	2025	Aperfeiçoamento	2025	2025.000000525-10	2026 | R$ 999,99							
Beleza	FIC	Colorimetria para Maquiadores	100	78.19		2025	Aperfeiçoamento	2025	2025.000000417-39	2026 | R$ 999,99							
Beleza	FIC	Construção de Carreira para Profissionais da Beleza	36	65.33	152706	2021	Aperfeiçoamento	2025	2025.000000524-21	2025 | R$ 249,00							
Beleza	FIC	Escova e Modelagem 	40	56.7	152720	2025	Aperfeiçoamento	2025	2025.000000490-47	2025 | R$ 429,00							
Beleza	FIC	Gerenciamento de salões de beleza 	40	65.14	152724	2024	Aperfeiçoamento	2025	2025.000000471-84	2025 | R$ 199,00							
Beleza	FIC	Maquiagem Artística	60	69.2	152726	2025	Aperfeiçoamento	2025	2025.000000416-58	CPED ajuste							
Beleza	FIC	Maquiagem para pele negra	40	69.8		2025	Aperfeiçoamento	2025	2025.000000400-91	NC							
Beleza	FIC	Maquiagem Social	60	69.11		2025	Aperfeiçoamento	2025	2025.000001195-17	2025 | R$ 1.019,00							
Beleza	FIC	SPA dos Pés	20	60.35		2024	Aperfeiçoamento	2025	2025.000000411-43	2025 | R$ 335,00							
Beleza	FIC	Produção de Noivas: Maquiagens e Penteados	80	402.7		2024	Programa Socioprofissional	2025	2025.000000387-89	CPED ajuste							
Beleza	FIC	Téc. em Imagem Pessoal 	800	1235	128852	2022	Aperfeiçoamento	2025	2025.000000004-63	2025 | R$ 9823,00							
Beleza	FIC	Técnicas Básicas de Maquiagem	80	402.1		2025	Aperfeiçoamento	2025	2025.000001196-06	2025 | R$ 1214,00							
Beleza	FIC	Técnicas Básicas de Manicure e Pedicure	80	413.1		2024	Aperfeiçoamento	2025	2025.000001197-89	2025 | R$ 1010,00							
Beleza	FIC	Tranças	40	72.13	126235	2025	Aperfeiçoamento	2025	2025.000001008-41	2025 | R$ 613,50							
Beleza	FIC	Vivências Práticas em Salão de Beleza	200	65.38	128552	2025	Aperfeiçoamento	2025	2025.000000988-46	2025 | R$ 4.419,00							
Beleza	FIC	Técnicas de manicure	20	413	84761	2025	Programa Socioprofissional	2025	2025.000003504-48	Aguardando DIREG validar preço		Demanda Comercial	Programa Socioprofissional				
