8 EIXOS DE TECNOLOGIA E ECONOMIA CRIATIVA																
DIRETORIA DE EDUCAÇÃO PROFISSIONAL - DEP 																
COORDENAÇÃO PEDAGÓGICA - CPED																
PORTFÓLIO 2026																
PORTFÓLIO  DE CURSOS SENAC DF: TI 																
Segmento 	Modalidade 	Titulo - Nome do Curso	CH	Cód. DN	Cód. SIG	Ident.	TIPO	Última Revisão	Processo SEI	Valores	Observações / Orientações	UNIDADE QUE PODE SER RODADO	Compatível com bolsa	Comercial*	PCN	PCR
Tecnologia e Games	Presencial 	Administrador de Banco de Dados	200h	2651	86169	2025	QUALIFICAÇÃO	2025	2023.000001316-41 	R$ 1.200,00	OK	TODAS AS UNIDADES	Sim	Sim	Sim	
Tecnologia e Games	Presencial 	Administrador de Redes	200h	2650	124939	2019	QUALIFICAÇÃO	2024	2024.000004233-49	R$ 1.185,00	OK	TODAS AS UNIDADES	Sim			
Tecnologia e Games	Presencial 	Aprendizagem Profissional de Qualificação em Desenvolvimento de Softwares	1000h	2624	101365	2020	APRENDIZAGEM	2024	2023.000001128-59	R$ 4.370,00	OK	TODAS AS UNIDADES	Sim	Sim		
Tecnologia e Games	Presencial 	Arquitetura de Sistemas Cloud Computing	30h	2548.4	66681	2019	APERFEIÇOAMENTO	2023	2023.000001324-51	2023 | R$ 280,00	"Precificação de 2023/24
Processo aberto na INST"	TODAS AS UNIDADES, EXCETO OS POLOS	Sim	Não	Sim	
Tecnologia e Games	Presencial 	Assistente de Tecnologias da Informação	200h	2704	86168	2020	QUALIFICAÇÃO	2025	2023.000000029-13	2025 | R$ 1.044,99	OK	TODAS AS UNIDADES	Sim			
Tecnologia e Games	Presencial 	AutoCAD - Desenho de Ambientes em 2D	60h	1371	5583	2023	APERFEIÇOAMENTO	2023	2023.000001164-12	2023 | R$ 474	"Precificação de 2023/24
Processo sem andamento aberto"	TODAS AS UNIDADES EXCETO OS POLOS	Sim			
Tecnologia e Games	Presencial 	ChatGPT na Prática	36h	128502	128507	2025	APERFEIÇOAMENTO	2025	2025.000001177-35	 2025 | R$R$ 209,0	OK	TODAS AS UNIDADES	NÃO	Sim		
Tecnologia e Games	Presencial 	Cloud computing - Gerenciamento de Serviços de computação em nuvem	100h	988.124	86154	2021	APERFEIÇOAMENTO	2024	2023.000001318-11	2024 | R$ 860	"Precificação de 2024
Processo aberto na INST"	TODAS AS UNIDADES EXCETO OS POLOS	Sim			
Tecnologia e Games	Presencial 	Construção de Websites com PHP e MySQL	60h	109529	110881	2023	APERFEIÇOAMENTO	2024	2023.000001325-31	2024 | R$508,00	"Precificação de 2024
Processo aberto na INST"	TODAS AS UNIDADES	Sim			
Tecnologia e Games	Presencial 	Desenvolvedor Back-end	500h	2825	107945	2022	QUALIFICAÇÃO	2023	2023.000001719-44	2023 | R$2739	"Precificação de 2023/24
Processo aberto na INST"		Sim			
Tecnologia e Games	Presencial 	Desenvolvedor Front-End	264h	2688	102680	2022	QUALIFICAÇÃO	2024	2023.000001165-01	2025 | R$1146	OK	TODAS AS UNIDADES	Sim			
Tecnologia e Games	Presencial 	Desenvolvimento de Aplicativos Móveis	100h	86156	128776	2025	APERFEIÇOAMENTO	2025	2025.000001433-11	2025 |R$450	OK	TODAS AS UNIDADES	SIM	Sim		
Tecnologia e Games	Presencial 	Editor de Projeto Visual Gráfico 	160h	1917	70796	2017	QUALIFICAÇÃO	2023	2023.000001322-99	2025 | R$705	OK	TODAS AS UNIDADES EXCETO OS POLOS	Sim			
Tecnologia e Games	Presencial 	Excel Com Vba e Dashboard	60h	1746.12	66400	2019	APERFEIÇOAMENTO	2023	 2023.000001321-16	2023 | R$667,9	"Precificação de 2023/24
Processo aberto na INST"	TODAS AS UNIDADES	Sim			
Tecnologia e Games	Presencial 	Formação - programação python	156h	2546.13	124941	2019	APERFEIÇOAMENTO	2025	2024.000004237-72	2025 | R$675	OK	TODAS AS UNIDADES	Sim			
Tecnologia e Games	Presencial 	Front-End: Html, Css, Bootstrap, js e Jquery	100h	968.75	66432	2019	APERFEIÇOAMENTO	2023	2023.000001327-01	2023 | R$400	"Precificação de 2023/24
Processo aberto na INST"	TODAS AS UNIDADES	Sim			
Tecnologia e Games	Presencial 	Implementar protocolos de rede em roteadores e switches	96h	91546	276513	2019	APERFEIÇOAMENTO	2025	2024.000004238-53	2025 | R$431,5	OK	TODAS AS UNIDADES EXCETO OS POLOS	Sim			
