DIRETORIA DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA - DEP 																		
COORDENAÇÃO PEDAGÓGICA - CPED																		
PORTFÓLIO 2025																		
PORTFÓLIO  DE CURSOS SENAC DF: GASTRONOMIA																		
"Status SIG
(Ativo ou Inativo)"	Segmento 	Modalidade 	Titulo - Nome do Curso	CH	Cód. DN	Cód. SIG	Ident.	TIPO	Última Revisão	Processo SEI	Valores 	Observações de Conferência	UNIDADE QUE PODE SER RODADO	Compatível com bolsa	Comercial*	PCN	PCR	
ATIVO	GASTRONOMIA	FIC	Açougueiro	160	2437	129820	2018	QUALIFICAÇÃO PROFISSIONAL	2025	2023.000001650-31	2025 | R$ 2.405,00	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Aperfeiçoamento de Tortas Doces e Salgadas	40	23113	66118	2019	APERFEIÇOAMENTO/ATUALIZAÇÃO	2023	2023.000001976-68	2025 | R$ 563,00	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Auxiliar de Cozinha	240	2459	128564	2018	QUALIFICAÇÃO PROFISSIONAL	2025	2023.000001877-86	2025 | R$ 2.790,00	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Auxiliar de Garçom (Cumim)	160	2038	112999	2021	QUALIFICAÇÃO PROFISSIONAL	2025	2024.000002181-76	2025 | R$ 1.249,99	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Auxiliar de Padeiro	180	2539	70084	2024	QUALIFICAÇÃO PROFISSIONAL	2025	2024.000005294-14	Não precificado	FALTA ASSINATURA DA MARI E DIRETORIA NO PLANO DE CURSO (Processo na CPED esperando nova precificação)		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Barista	160	2534	128571	2023	QUALIFICAÇÃO PROFISSIONAL	2025	2023.000001192-76	2025 | R$ 1.502,99	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Bartender	200	2519	68288	2023	QUALIFICAÇÃO PROFISSIONAL	2025	2023.000001182-02	2025 |R$ 2.817,99	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Boas Práticas na Manipulação de Alimentos 	20	20842	66375	2019	APERFEIÇOAMENTO/ATUALIZAÇÃO	2025	2023.000001887-58	2025 |R$ 200,00	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Cake Design - Aperfeiçoamento	40	231.37	66324	2022	APERFEIÇOAMENTO/ATUALIZAÇÃO	2026	2023.000001917-16	2026 / R$947,00	OK		SIM	SIM			
ATIVO	GASTRONOMIA	FIC	Compras e Estoque na Gastronomia	60	2082.60	116202	2024	APERFEIÇOAMENTO/ATUALIZAÇÃO	2024	2024.000002297-04	Precificação sugerida	"SOMENTE IN COMPANY
PROCESSO PARADO DESDE 05/2024"		NÃO	SIM			
