DIRETORIA DE EDUCAÇÃO PROFISSIONAL - DEP 																
COORDENAÇÃO PEDAGÓGICA - CPED																
PORTFÓLIO 2025																
PORTFÓLIO  DE CURSOS SENAC DF: ENSINO MÉDIO 																
Segmento 	Modalidade 	Titulo - Nome do Curso	CH	Cód. SIG	Ident.	TIPO	Última Revisão	Processo SEI	Compatível com bolsa	Comercial*	PCN	PCR	Resolução	Observações / Orientações		
Tecnologia e Games	Técnico de Nível Médio	Técnico em Computação Gráfica	1000	40393	2019	Habilitação Técnica	2025	2023.000001323-70	SIM	SIM			"Resolução 1540/2024
CEP Joaquim Loiola, Sobradinho e Talal Abu Allan"	PUBLICADO		
Tecnologia e Games	Técnico de Nível Médio	Técnico em Desenvolvimento de Sistemas	1200	102655	2021	Habilitação Técnica	2025	2023.000002099-33	SIM	SIM			"Resolução 1689/2026
Todos os CEPs e Polos"	PUBLICADO		
Tecnologia e Games	Técnico de Nível Médio	Técnico em Informática	1200	68214	2025	Habilitação Técnica	2025	2023.000001328-84	SIM	SIM			"Resolução 1688/2026
Todos os CEPs e Polos"	PUBLICADO		
Tecnologia e Games	Técnico de Nível Médio	Técnico em Informática para Internet 	1000	"	136918"	2020	Habilitação Técnica	2025	2024.000005164-36	SIM	SIM			"Resolução 1620/2025
CEP Jessé Freire, Sobradinho e Jó Rufino
Polo Brazlândia"	PUBLICADO		
Tecnologia e Games	Técnico de Nível Médio	Técnico em Programação de Jogos Digitais	1000	92043	2020	Habilitação Técnica	2025	2023.000001329-65	SIM	SIM			"Resolução 1687/2026
Todos os CEPs e Polos"	PUBLICADO		
Tecnologia e Games	Técnico de Nível Médio	Técnico em Segurança Cibernética	1000	122193		Habilitação Técnica	2025	2025.000000005-44	SIM	SIM				ARQUIVADO		
Gestão e Negócio	Técnico de Nível Médio	Técnico em Administração SEEDF	800	122328	2024	Habilitação Técnica	2025	2023.000001940-57	SIM	SIM			"Resolução 1691/2026
Todos os CEPs e Polos"	PUBLICADO		
Gestão e Negócio	Técnico de Nível Médio	Técnico em Contabilidade SEEDF	800	121891	2024	Habilitação Técnica	2025	2024.000004724-71	SIM	SIM			"Resolução 1610/2024
CEP Brazlândia, São Sebastião, Jessé Freire e Santa Maria"	PUBLICADO		
Gestão e Negócio	Técnico de Nível Médio	Técnico em Finanças SEEDF	800	122336	2017	Habilitação Técnica	2025	2024.000005195-32	SIM	SIM			"Resolução 1607/2024
CEP BRAZLÂNDIA, SÃO SEBASTIÃO, JESSÉ FREIRE"	PUBLICADO		
Gestão e Negócio	Técnico de Nível Médio	Técnico em Logística SEEDF	800	121951	2024	Habilitação Técnica	2025	2024.000005206-20	SIM	SIM			"Resolução 1597/2024
CEP Jessé Freire e Santa Maria
Polo Brazlândia"	PUBLICADO		
Gestão e Negócio	Técnico de Nível Médio	Técnico em Marketing SEEDF	800	122340	2018	Habilitação Técnica	2025	2024.000005148-16	SIM	SIM			"Resolução 1623/2025
CEP Talal Abu Allan, Joaquim Loiola, Jessé Freire, Sobradinho e Jó Rufino
Polos Brazlândia, Santa Maria e São Sebastião"	PUBLICADO		
Gestão e Negócio	Técnico de Nível Médio	Técnico em Recursos Humanos SEEDF	800	121907	2024	Habilitação Técnica	2025	2023.000001167-65	SIM	SIM			"Resolução 1690/2026
Todos CEPs e Polos"	PUBLICADO		
Gestão e Negócio	Técnico de Nível Médio	Técnico em Secretariado SEEDF	800	122362	2018	Habilitação Técnica	2025	2024.000004730-10	SIM	SIM			"Resolução 1605/2024
CEP Jessé Freire e Santa Maria
Polo Brazlândia e São Sebastião"	PUBLICADO		
Segurança	Técnico de Nível Médio	Técnico em Segurança do Trabalho SEEDF	1200	136969	2019	Habilitação Técnica	2025	2024.000004881-22	SIM	SIM			"Resolução 1592/2024
CEP Antonio Matias, Jó Rufino e Sobradinho"	FALTA ASSINATURA DA DIRETORIA NO PLANO DE CURSO (Processo na CPED)		
Meio Ambiente	Técnico de Nível Médio	Técnico em Meio Ambiente SEEDF	1200	121910	2024	Habilitação Técnica	2025	2024.000004827-87	SIM	SIM			"Resolução 1614/2025
CEP Antonio Matias"	PUBLICADO		
Ambiente e Saúde	Técnico de Nível Médio	Técnico em Nutrição e Dietética (Novo Ensino Médio)	1200	124115	2023	Habilitação Técnica	2025	2023.000.001.660-11	SIM	SIM				PUBLICADO		
Turismo, Hopitalidade e Lazer	Técnico de Nível Médio	Técnico em Eventos (NOVO ENSINO MÉDIO)	800	96015	2016	Habilitação Técnica	2025	2023.000000305-34					"Resolução 1630/2025
CEP Talal Abu Allan, Joaquim Loiola, Jessé Freire, Sobradinho e Jó Rufino
Polos Brazlândia, Santa Maria e São Sebastião"	PUBLICADO		
Design	Técnico de Nível Médio	Técnico em Design de Interiores (NOVO ENSINO MÉDIO)	1200	122143	2023	Habilitação Técnica	2025	2024.000004708-51	SIM	SIM	SIM	Não		PUBLICADO		
Gastronomia	Técnico de Nível Médio	Técnico em Gastronomia SEEDF	800	121769	2020	Habilitação Técnica	2025	2023.000001912-01	SIM	SIM			"Resolução 1646/2025
Todos os CEPs e Polos"	PUBLICADO		
Ambiente e Saúde	Técnico de Nível Médio	Técnico em Podologia (TEM)	1200	a cadastrar	2018	Habilitação Técnica	2025	2025.000002665-79	SIM	SIM			"Resolução 1657/2025
Todos os CEPs e Polos"	PUBLICADO		
Ambiente e Saúde	Técnico de Nível Médio	Técnico em Análises Clínicas 	1200	"	125936"	2018	Habilitação Técnica	2025	2025.000000164-67	SIM	SIM	SIM	Necessita de laboratório de análises clínicas	"Resolução 1615/2025
CEP Antonio Matias"	PUBLICADO		
Saúde	Técnico de Nível Médio	Técnico em Hemoterapia 	1200	124415	2019	Habilitação Técnica	2025	2025.000000162-03	SIM				"Resolução 1617/2025
CEP Antonio Matias"	PUBLICADO		
																
																
																
																
																
																
																
