COORDENAÇÃO PEDAGÓGICA - CPED																		
PORTFÓLIO 2025																		
PORTFÓLIO  DE CURSOS SENAC DF: SAÚDE																		
Segmento 	Modalidade 	Título - Nome do Curso 	CH	Cód. DN	Cód. SIG	Ident.	TIPO	Última revisão	Processo SEI	Valor	Observações de conferência	Observações Eixo	Unidade que pode ser rodado	Compatível com bolsa	Comercial*	PCN	PCR	
Saúde 	Qualificação Profissional	Agente Comunitário	240	2444	134510	2018	Qualificação Profissional	2025	2024.000005532.18	2025 | R$ 1.750,00	PUBLICAR NO SITE			SIM	SIM		NÃO	
Saúde	FIC	Análise em Faturamento Hospitalar 	48	1627.3	66354	2019	Aperfeiçoamento	2025	2023.000001876-03	2025 | R$ 289,00	OK	Não há necessidade de laboratório	Todos os CEPs	SIM	SIM	NÃO		
Saúde 	Aprendizagem	Aprendizagem Profissional de Qualificação em Serviços Administrativos em Instituições de Saúde.	1520	1380	68991	2022	Aprendizagem Profissional de Qualificação	2025	2023.000001895-68	2025 | R$3550	OK	Não há necessidade de laboratório	Todos os CEPs	SIM	SIM			
Transporte e Armazenagem	Aprendizagem	Aprendizagem Profissional de Qualificação em Serviços de Atendimento em Postos de Combustíveis	1156	2508	92633	2019	Aprendizagem Profissional de Qualificação	2025	2024.000001007-61	2025 | R$ 2726	OK			SIM	SIM	SIM	NÃO	
Saúde	Aprendizagem	Aprendizagem Profissional de Qualificação em Serviços de Farmácias e Drogarias	1528	3005	1011722	2024	Aprendizagem Profissional de Qualificação	2025	2023.000001443-86	2025 | R$ 2209,00	OK	Não há necessidade de laboratório	Miguel Setembrino	SIM	SIM	SIM	NÃO	 
Segurança	Aprendizagem	Aprendizagem Profissional de Qualificação em Serviços de Vigilância	800	3185	128705	2024	Aprendizagem Profissional de Qualificação	2025	2024.000004939-83	2025 | R$3528	PUBLICAR NO SITE 	necessita empresa de vigilantes para UCs - Formação de vigilantes		SIM	SIM	SIM	NÃO	
Saúde	FIC	Assistência em Enfermagem Oncológica 	48	2317.14	81341	2023	Aperfeiçoamento	2024	2023.000001666-06	2025 | R$ 347	OK	Necessidade de laboratório/Prática Supervisionada	Miguel Setembrino/Gama	SIM	SIM	NÃO	NÃO	
Saúde	FIC	Atendente de Farmácia	240	1839	81609	2016	Qualificação Profissional	2025	2023.000001583-36	2025 | R$999,99	OK	Não há necessidade de laboratório	Miguel Setembrino/Taguantinga	SIM	SIM	NÃO	NÃO	
Saúde 	FIC	Atendimento em Pet Shop	32	66.130	Falta cadastrar	2024	Aperfeiçoamento	2024	2024.000003107-31	2025 | R$ 161	NÃO ESTÁ NO SITE, NÃO ESTÁ NO SEI, 	Laboratório de Pet	 Não há 	SIM	SIM	NÃO	NÃO	
Saúde	FIC	Atualização em Procedimentos Técnicos aos Profissionais de Enfermagem	200	61.66	117762	2024	Aperfeiçoamento	2024	2024.000000917-53	Em processo de precificação	Falta assinatura da Mari e da Diretoria no Plano de Curso (Processo aberto na NC para precificação) VINCULAR RESOLUÇÃO / NÃO ESTÁ NO SITE 	Necessidade de laboratório/Prática Supervisionada	Miguel Setembrino/Gama	SIM	SIM	NÃO	NÃO	
Saúde 	FIC	Banho e tosa em cães e gatos	108	838.7	Falta cadastrar	2024	Aperfeiçoamento	2024	2024.000003119-74	Em processo de precificação	Falta assinatura da DIREG no Plano de Curso/Processo aberto na NC para precificação / VINCULAR RESOLUÇÃO/ NÃO ESTÁ NO SITE/ NÃO CONSTA NO SIG 	NECESSITA LABORATÓRIO/CONSULTÓRIO/ CLÍNICA/PETSHOP	Não há	SIM	SIM	NÃO	NÃO	
Saúde	FIC	Cálculos Utilizados na Dispensação e Manipulação Farmacêutica	16	2322.2	81814	2018	Aperfeiçoamento	2024	2023.000000791-18	2024 | R$ 144	Processo na CPED com sugestão de alteração de nome do curso e atualização do valor de precificação/ VINCULAR RESOLUÇÃO/ NÃO ESTÁ NO SITE/ NÃO ESTÁ NO SIG 	Necessita de laboratório de Farmácia	Miguel Setembrino	SIM	SIM		NÃO	
Saúde	FIC	Cuidador de Idoso	160	2454	68007	2018	Qualificação Profissional	2025	2023.000001667-89	2025 | R$ 880,00	OK	Necessita de laboratório de Enfermagem	 Miguel Setembrino/Gama 			SIM		
Saúde	Especialização Técnica	Especialização em Enfermagem em Saúde Mental	300	2585	127922	2019	Especialização Técnica de Nível Médio	2025	2025.000000644-37	2025 | R$ 1489	CORRIGIR PARA ESPECALIZAÇÃO TECNICA 	Necessita de laboratório de Enfermagem	Miguel Setembrino/Gama				NÃO	
Saúde 	Especialização Técnica	Especialização Técnica em Enfermagem do Trabalho	340	2532	81594	2019	Especialização Técnica de Nível Médio	2024	2023.000001423-32	2025 | R$ 1.600,00	OK	Necessita de laboratório de Enfermagem	Miguel Setembrino					
Saúde	Especialização Técnica	Especialização Técnica em Instrumentação Cirúrgica	360	2461	109853	2018	Especialização Técnica de Nível Médio	2025	2023.000001352-12	2025 | R$ 2.030,00	OK	Necessita de laboratório de Enfermagem	 Miguel Setembrino 					
Saúde	Especialização Técnica	Enfermagem em Unidade de terapia Intensiva	300	515	70458	2019	Especialização Técnica de Nível Médio	2025	2023.000001636-82	2025 | R$ 2.090,00	OK	Necessita de laboratório de Enfermagem	Miguel Setembrino					
Saúde	Especialização Técnica	Especialização Técnica em Urgência e Emergência	380	2433	81181	2025	Especialização Técnica de Nível Médio	2025	2023.000001621-04	2024 | R$ 1.822,00	OK	Necessita de laboratório de Enfermagem	Miguel Setembrino					
Saúde	FIC	Excelência no Atendimento ao Cliente em Farmácias e drogarias	24	2322.8	81827	2018	Aperfeiçoamento	2023	2023.000000775-06	2026 | R$158	OK	Necessita laboratório Farmácia	Miguel Setembrino				NÃO	
Saúde	FIC	Faturamento de Serviços de Saúde	96	66.88	68188	2025	Aperfeiçoamento	2025	2023.000001885-96	 2025 | R$536,00	OK	Não há necessidade de laboratório	Todos os CEPs					
Transporte e Armazenagem	FIC	Frentista	160	2233	124799	2017	Qualificação Profissional	2024	2024.000005109-18	2025 | R$ 1030	OK	Visita técnica em posto ou oficinas				NÃO		
Saúde 	FIC	Tratamento de Feridas e Curativos	20	NÃO INFORMADO	Falta cadastrar	2025	Aperfeiçoamento	2025	2025.000000794-69	2026 | R$ 390,00	Falta assinatura do Diretor, no PC. CADASTRAR NO SIG, vincular resolução publicar no site 	Necessita de Laboratório de Enfermagem	Miguel Setembrino/ Gama				NÃO	
Saúde 	FIC	Habilitação em Sutura Simples para Enfermeiros	20	135001	"	135008"	2025	Aperfeiçoamento	2025	2025.000000778-49	2025 | R$ 490	OK	Necessita de Laboratório de Enfermagem	Miguel Setembrino/ Gama					
Saúde	FIC	Higienista em Serviços de Saúde	240	2505	69232	2019	Qualificação Profissional	2022	2023.000001896-49	2024 | R$ 1.021,00 	OK	Não necessita de laboratório	Todos os CEPs					
Saúde 	FIC	Instrumentação em Cirurgia Videolaparoscópica	40	135032	135040	2025	Aperfeiçoamento	2025	2025.000000966-31	2025 / R$600,00	OK	Necessita de Laboratório de Enfermagem	Miguel Setembrino/ Gama					
Saúde	FIC	Noções de Interpretação Clínica de Exames Laboratoriais	40	67.36	66530	2019	Aperfeiçoamento	2023	2023.000000785-70	2025 / R$250,00	OK	Necessita de laboratório	Miguel Setembrino/ Gama				NÃO	
Segurança	FIC	NR 10- Segurança em Instalações e serviços em eletricidade	40	85725	134113	2024	Aperfeiçoamento	2025	2024.000002951-62	2025 | R$ 360,00	OK	Necessita de equipamentos de Segurança do Trabalho	Miguel Setembrino/ Taguatinga/Sobradinho				NÃO	
Segurança	FIC	NR 20 - SEGURANÇA E SAÚDE NO TRABALHO COM INFLAMÁVEIS E COMBUSTÍVEIS	40	124797	124798	2024	Aperfeiçoamento	2025	2024.000005297-67	2025 | R$ 299	OK	Sugerir ofertar após Frentista, mas pode ofertar solo.				NÃO		
Segurança	FIC	NR 23- Proteção Contra Incêndios	40	134120	134132	2024	Aperfeiçoamento	2024	2024.000002342-95	2025 | R$ 299	OK	Necessita de equipamentos de Segurança do Trabalho	Miguel Setembrino/ Taguatinga/Sobradinho					
Segurança	FIC	NR 35 – Segurança no Trabalho em Altura	20	75.24	66215	2018	Aperfeiçoamento	2024	2024.000002070-51	2025 | R$ 199,99	OK	Necessita de equipamentos de Segurança do Trabalho	Miguel Setembrino/ Taguatinga/Sobradinho				NÃO	
