DIRETORIA DE EDUCAÇÃO PROFISSIONAL - DEP 																
COORDENAÇÃO PEDAGÓGICA - CPED																
PORTFÓLIO 2025																
PORTFÓLIO  DE CURSOS SENAC DF: GESTÃO E NEGÓCIO																
Segmento 	Modalidade 	Titulo - Nome do Curso	CH	Cód. SIG	Ident.	TIPO	Última Revisão	Processo SEI	Observações/Orientações	Valor	Unidade que pode ser rodado	Compatível com bolsa	Comercial*	PCN	PCR	
Gestão e Negócio	FIC	Aplicação de Inteligência Artificial para Negócios 	16	Não Informado	2024	Aperfeiçoamento	2025	2024.000005597-55	Não está disponivel para web - SIG | Obs: Nicole	2025 | R$ 150,00		SIM	SIM			
Gestão e Negócio	FIC	Qualidade no Atendimento	16	108219	2018	Aperfeiçoamento	2024	2023.000002106-05	"Precificação Antiga/
Processo aberto na INST"	2024 |  R$ 150,00		SIM	SIM			
Gestão e Negócio	FIC	Alterações no Departamento Pessoal com a Implantação do E-Social 	20	66055	2017	Aperfeiçoamento	2024	2023.000002011-00	"Precificação Antiga/
Processo aberto na INST"	2024 | R$ 200,00		SIM	SIM			
Gestão e Negócio	FIC	Educação Financeira	20	116143	2024	Aperfeiçoamento	2024	2024.000003001-82	"Precificação Antiga/
Processo sem andamento aberto"	2024 | R$ 118,00		SIM	SIM			
Gestão e Negócio	FIC	Excelência em Atendimento e Vendas (IN COMPANY)	20	131921	2025	Aperfeiçoamento	2025	2025.000002049-72	Não está precificado (aberto na NC)	Sem Precificação		SIM	SIM			
Gestão e Negócio	FIC	Gestão de crises nas redes sociais 	20	119579	2024	Aperfeiçoamento	2024	2024.000003775-68	Não está disponivel para web - SIG	2025 | R$ 150,00		SIM	SIM			
Gestão e Negócio		Administração de contas a pagar, contas a receber e tesouraria	24							2025 | R$ 200,00						
Gestão e Negócio	FIC	Tráfego Pago Como Anunciar no Instagram e Facebook	24	134854	2025	Aperfeiçoamento	2025	2025.000000708-36	OK	2025 | R$ 199,00		SIM	SIM			
Gestão e Negócio	FIC	Excelência em Atendimento e Vendas	40	"	126140"	2018	Aperfeiçoamento	2025	2023.000001952-91	OK	2025 | R$ 220,00		SIM	SIM			
Gestão e Negócio	FIC	Finanças pessoais - planejamento e controle 	40	122253	2024	Programas Socioprofissionais	2024	2024.000003085-91	"Não está disponível para Web - Precificação Antiga/
Processo sem andamentos abertos"	2024 | R$ 188,00		NÃO	SIM			
Gestão e Negócio	FIC	Posicionamento: Como sua marca deve se comportar no mercado 	40	118809	2024	Aperfeiçoamento	2025	2024.000004196-60	OK	2025 | R$ 199,00		SIM	SIM			
Gestão e Negócio	FIC	Recrutamento e Seleção	40	65959	2017	Aperfeiçoamento	2025	2023.000002062-41	OK	2025 | R$ 196,00		SIM	SIM			
